00005314Susan     Garcia    4032004055935885050 Park Avenue, Toronto, QC, T5K 1F9                   :8
01510026Edward    Hill      4014007530104912037 Campus Road, Montreal, QC, E3Q 6E3                  :24
01515073Michelle  Davis     4024005601118701620 Student Lane, Calgary, QC, Z7G 3B8                  :8
01515535Paul      Harris    4031008694461098959 Maple Road, Edmonton, QC, C6Q 2M0                   :8
01518480Michelle  Thomas    2024007173439687988 Park Avenue, Toronto, QC, D0L 3X5                   :16
01530083Linda     Smith     4013000931866569086 Main St, Montreal, QC, V1R 6D1                      :8
01531716William   Jackson   1023000806999972950 University Drive, Ottawa, QC, M3G 9E9               :8
01536552Melissa   Robinson  3032009919694883904 First Ave, Vancouver, QC, W2M 0W9                   :8
01539367Steven    Nguyen    2031004217695475996 University Drive, Edmonton, QC, U0V 6H2             :8
01542903Carol     Jackson   2016005795928132241 Main St, Montreal, QC, P6Y 9F1                      :8
01543383Michelle  Taylor    2011008068691724159 Student Lane, Edmonton, QC, M8R 6O8                 :16
01554921Thomas    Scott     2025003967931392550 Park Avenue, Edmonton, QC, Z4V 9U7                  :8
01563619Melissa   Williams  1012007338439962149 College Blvd, Edmonton, QC, I8P 8D6                 :8
01567445Laura     Smith     1033007655995316249 University Drive, Edmonton, QC, E2G 4D3             :16
01568047Sarah     Allen     4013002794210919037 Park Avenue, Montreal, QC, M3S 8Q4                  :8
01569758William   Lee       4013000566338702407 Maple Road, Calgary, QC, C8C 8P4                    :8
01578205David     Brown     2034002205569501093 Oak Street, Toronto, QC, Q0M 5H9                    :16
01579153Michael   Williams  2036006666311127330 Student Lane, Toronto, QC, R7U 5E0                  :8
01581653Robert    Taylor    1026004583110551713 Park Avenue, Vancouver, QC, J4Z 5Z1                 :8
01585841William   Williams  1016006860410143347 Park Avenue, Edmonton, QC, Q3U 6M8                  :8
01590770Sandra    Nguyen    2012000060804393127 Main St, Calgary, QC, E1A 1B5                       :8
01605351Laura     Jackson   3032007079004813712 First Ave, Vancouver, QC, S6Q 6F7                   :16
01619668Paul      Williams  1015000890665797642 Maple Road, Ottawa, QC, L4B 1K4                     :8
01625637Rebecca   Garcia    3023006478486854682 College Blvd, Ottawa, QC, J6G 7G5                   :8
01645398Emily     Thompson  3024001580542988737 First Ave, Montreal, QC, L2C 7L7                    :8
01647199Maria     Clark     1034005185337858008 First Ave, Calgary, QC, G8M 1R0                     :8
01648104Carol     Thomas    2024001868772614859 First Ave, Montreal, QC, L3I 3C6                    :8
01648311Linda     Nguyen    4026003606634696159 Park Avenue, Toronto, QC, S9U 2X5                   :8
01659960Susan     Moore     3022007586354053196 Park Avenue, Edmonton, QC, B0S 3L0                  :16
01660728Paul      Sanchez   2035002008454013028 Park Avenue, Calgary, QC, S8A 1E3                   :8
01670334Donna     Garcia    1014003256670696209 Oak Street, Edmonton, QC, G5F 7S2                   :8
01671585Susan     White     2025006127558823159 University Drive, Toronto, QC, L7R 0T4              :8
01675685Edward    Smith     4015009780111677598 Maple Road, Edmonton, QC, F2W 1W6                   :8
01684123Thomas    Thompson  1024008267353689262 Oak Street, Edmonton, QC, B7Q 2A0                   :16
01684272Joshua    Davis     1031003801903605264 Park Avenue, Edmonton, QC, V5Y 8E4                  :24
01686110Brian     Hill      3023002715908185086 College Blvd, Vancouver, QC, K3G 0R5                :8
01687607Jennifer  Thompson  3015004592165282500 University Drive, Toronto, QC, O4P 3W9              :8
01688022Michelle  Torres    1012007262566635432 Student Lane, Ottawa, QC, T9I 1D3                   :16
01690542Emily     Walker    4016008690530353785 Main St, Toronto, QC, Y5M 7S7                       :8
01691814Carol     Young     1035000129446092212 College Blvd, Toronto, QC, Y6T 3G6                  :8
01694729James     Jackson   1026007518765567453 Campus Road, Toronto, QC, U7P 8S6                   :8
01700110Amanda    Harris    2035003936412521177 College Blvd, Toronto, QC, Z0P 1E7                  :8
01700686David     Thomas    2011002660819479133 Student Lane, Calgary, QC, M1B 2A4                  :8
01705738Paul      Young     4022000379839063829 Main St, Calgary, QC, I2U 2H5                       :16
01711607Jane      Thomas    3034002842400872922 Park Avenue, Montreal, QC, D3B 2T7                  :8
01715810Maria     Miller    4023004474286638700 Park Avenue, Vancouver, QC, N4G 8V9                 :8
01717276Jennifer  Moore     2013004457189996313 College Blvd, Vancouver, QC, T3U 1E0                :8
01724839Jennifer  Taylor    1015001343082268227 Main St, Toronto, QC, W8T 1L4                       :8
01728026John      Miller    2023003862723248810 Main St, Calgary, QC, M6F 3W6                       :8
01739393Andrew    Nguyen    3024000684452822477 Oak Street, Montreal, QC, S6D 7V5                   :8
01740063Lisa      Allen     4016004970386257120 Oak Street, Toronto, QC, T3D 7R4                    :8
01744637George    Sanchez   4011000299397437377 Campus Road, Vancouver, QC, T5E 9U1                 :16
01746139Lisa      Smith     1032007480174205572 Park Avenue, Ottawa, QC, A4K 2L7                    :8
01747319Brian     Walker    3015008008564885330 Park Avenue, Montreal, QC, E9R 3T5                  :8
01747800Joshua    Jones     4032003159181526935 Main St, Ottawa, QC, X5X 2C1                        :8
01749850Michelle  Taylor    3036007814022364078 Oak Street, Ottawa, QC, C8C 8S4                     :8
01759910Joshua    Smith     1011006039066793324 Campus Road, Toronto, QC, B4L 9H8                   :16
01768233Emily     Young     1026008290257511034 Park Avenue, Edmonton, QC, T4O 6D5                  :8
01769632James     Jackson   3013007077922104767 Maple Road, Calgary, QC, R3L 6M6                    :8
01770637Andrew    Lee       4034003614170273819 First Ave, Toronto, QC, N1Y 8X0                     :8
01771451Maria     Thompson  2026002986771256533 First Ave, Ottawa, QC, E2M 5M6                      :16
01773006Sandra    Lee       2011007670362282001 College Blvd, Vancouver, QC, V5L 0A3                :24
01773404Sarah     Thompson  3031004373823782019 Campus Road, Montreal, QC, K2B 8Z8                  :8
01780376David     Williams  4032001971344752398 First Ave, Calgary, QC, V9U 7Y9                     :8
01782572Kevin     Taylor    3014004585500411459 Student Lane, Edmonton, QC, N5V 4G0                 :16
01786167David     Jones     3012004876222412598 Oak Street, Toronto, QC, F1Y 4Q2                    :16
01787839Laura     Harris    2024005068360348865 Student Lane, Vancouver, QC, R7K 0W6                :8
01793826Paul      Moore     4034002527049548803 Park Avenue, Ottawa, QC, L3B 5G6                    :24
01796386Sarah     Scott     4024001578629982304 Campus Road, Toronto, QC, U5U 9S4                   :16
01813270Charles   Robinson  1034008168843067379 Campus Road, Toronto, QC, Q4Q 0U1                   :8
01816822Brian     Allen     4025002797719802232 Campus Road, Ottawa, QC, Q5B 8W1                    :16
01817360Thomas    Flores    1031007020047643369 University Drive, Toronto, QC, U0J 7U3              :8
01821728Amanda    White     1025005803109126241 Park Avenue, Montreal, QC, G2C 4B2                  :8
01833530Brian     King      3014008708576968350 Oak Street, Calgary, QC, D8R 3U5                    :16
01835063Rebecca   Wright    1022005612076784557 Maple Road, Toronto, QC, B0J 5R3                    :16
01840409Kevin     Young     2012001729826163452 Student Lane, Ottawa, QC, O7I 5N2                   :8
01845696Laura     Clark     2023003323861685758 Main St, Ottawa, QC, F9U 0X4                        :8
01854394Maria     Perez     1013003432416031029 University Drive, Montreal, QC, F1V 1X1             :8
01870411Kevin     Williams  1023006502388387933 First Ave, Calgary, QC, U3M 7O1                     :8
01872511Rebecca   Nguyen    4024003900399711479 Maple Road, Montreal, QC, C7Z 3F2                   :8
01879587Michael   Jones     1015005872206395717 Campus Road, Vancouver, QC, S0L 8S7                 :16
01885117Carol     Brown     3032002682909288638 Student Lane, Edmonton, QC, B8D 4J7                 :16
01889706Joshua    Smith     1011003321036943071 College Blvd, Montreal, QC, K0X 5W6                 :8
01895851Linda     Harris    2011007607813483473 First Ave, Edmonton, QC, J0F 3M0                    :8
01907461Carol     Brown     3026004577779481574 University Drive, Vancouver, QC, P9P 9H5            :16
01915436Andrew    Garcia    4021008725362955167 College Blvd, Vancouver, QC, B9A 6B8                :8
01921698Lisa      Garcia    3032006297713648333 Oak Street, Vancouver, QC, O7D 3H1                  :16
01922546Brian     Sanchez   2011003563579787985 Campus Road, Toronto, QC, Q1R 4B1                   :8
01923079Laura     Lee       2012004327505687758 University Drive, Calgary, QC, B1A 6A8              :8
01924464Michael   King      2033002833694209869 University Drive, Calgary, QC, R9G 3B7              :8
01926901Amanda    Thomas    4032009765037448701 College Blvd, Edmonton, QC, S1J 0X2                 :8
01928671Charles   Jones     3031000660581328376 College Blvd, Edmonton, QC, P6L 1Y7                 :16
01938440Jane      King      2011001015907468323 Campus Road, Calgary, QC, C0T 1I1                   :8
01951071Melissa   Garcia    3031006722044167293 University Drive, Vancouver, QC, N9F 8L3            :8
01951328Laura     Thomas    4016009321288784687 Oak Street, Calgary, QC, U9M 9K3                    :8
01952155Amanda    Flores    4015005424372528966 Maple Road, Edmonton, QC, H2O 5B8                   :16
01962068Rebecca   Ramirez   3011008992267054288 Campus Road, Toronto, QC, S7W 1I5                   :16
01971918Emily     Nguyen    4015001793325202901 Oak Street, Ottawa, QC, G6T 2G9                     :8
01971961James     Jackson   3014009966056245668 Park Avenue, Montreal, QC, L4L 4Y3                  :8
01973860Brian     Johnson   1023002276116137709 Maple Road, Calgary, QC, Q2U 1A9                    :16
01976364Amanda    Harris    2012001922751122274 College Blvd, Calgary, QC, P3Y 3G4                  :24
01976994Jane      Robinson  1036004334943164781 Maple Road, Montreal, QC, X4S 6N5                   :8
01994942Charles   Perez     4032008120931302073 Maple Road, Toronto, QC, T8Z 0F2                    :8
01996927Amanda    Walker    4013009843476791064 Campus Road, Toronto, QC, S9O 7U0                   :8
02008679Kevin     Thompson  2023004648832086935 Student Lane, Vancouver, QC, J1F 0V7                :16
02011808David     Taylor    2025007865686058282 First Ave, Calgary, QC, V4K 2L6                     :8
02017631Robert    Moore     3033002634693443521 First Ave, Edmonton, QC, K2U 3S8                    :16
02018112Andrew    Young     4022004310281168338 Main St, Edmonton, QC, V3V 6Q3                      :8
02020339Lisa      Thomas    1015007991306546176 Main St, Ottawa, QC, Z8A 7J0                        :8
02021126Michelle  Robinson  1013007952494557715 Student Lane, Vancouver, QC, Z6G 3A4                :16
02023343Linda     Lee       3014005969969349623 First Ave, Edmonton, QC, H8J 0F8                    :8
02037726George    Wright    3026006047550987400 Oak Street, Vancouver, QC, X3S 5D6                  :16
02038773James     Thomas    2036003144324557627 Main St, Vancouver, QC, U4C 9L3                     :8
02041588Charles   Clark     3026008907182786577 Main St, Toronto, QC, J8S 3W7                       :16
02060973Maria     Smith     3034003553906984635 Main St, Montreal, QC, J2I 5M0                      :8
02079068Susan     Johnson   3034006787439035640 Maple Road, Montreal, QC, G0D 7Z4                   :16
02080547Melissa   Wright    2023005554755452302 College Blvd, Ottawa, QC, U0O 2K3                   :8
02080931Linda     Jones     4032001823731523498 Maple Road, Montreal, QC, T7P 6E6                   :8
02084213Laura     Perez     2026006344566933297 Park Avenue, Calgary, QC, P3Q 5D3                   :8
02084435Laura     Jones     1033008454953618379 Park Avenue, Ottawa, QC, N0K 7P6                    :16
02089660Brian     Williams  1031006624673443775 University Drive, Edmonton, QC, C6B 1E9             :8
02095372Kevin     Allen     4011008812933291605 First Ave, Montreal, QC, A5X 6N4                    :16
02095963Susan     Miller    4025008750315044093 Oak Street, Vancouver, QC, A0I 5E3                  :8
02103995Carol     King      4015009867932283665 Park Avenue, Montreal, QC, R0O 3L3                  :8
02107044John      Nguyen    4026004207205208109 College Blvd, Calgary, QC, N1A 3F4                  :16
02111524Maria     Lee       1026007704339535148 Park Avenue, Edmonton, QC, J1J 6R8                  :16
02112995Sandra    Nguyen    3012003156562154272 First Ave, Toronto, QC, Q8N 4M9                     :16
02118350Robert    Thompson  3026003424983018219 Oak Street, Edmonton, QC, X4I 4T7                   :16
02123256Robert    Perez     3014006548223689464 University Drive, Edmonton, QC, D2A 4S9             :8
02123577Sandra    Harris    4035000061271796608 Park Avenue, Toronto, QC, O8G 2U7                   :8
02127401William   Jones     1011008310531016731 Maple Road, Montreal, QC, F8C 8X7                   :8
02140105Paul      Flores    1012001709161284786 Main St, Calgary, QC, B6V 9H8                       :8
02145363Amanda    Lewis     4032004820195105827 First Ave, Ottawa, QC, D7V 8Z8                      :16
